mention,type,query,wiki_link,wikidata_type,wiki_name,exposure
radioheads,Artist,i love radioheads kid a something similar | kinda a bit like aphex twin maybe,https://en.wikipedia.org/wiki/Radiohead,musical group,Radiohead,6.562410151614332
kid a,WoA,i love radioheads kid a something similar | kinda a bit like aphex twin maybe,https://en.wikipedia.org/wiki/Kid_A,album,Kid_A,3.1460990866296594
aphex twin,Artist,i love radioheads kid a something similar | kinda a bit like aphex twin maybe,https://en.wikipedia.org/wiki/Aphex_Twin,human,Aphex_Twin,4.9640105456074455
i fight dragons,Artist,anything similar to i fight dragons,https://en.wikipedia.org/wiki/I_Fight_Dragons,musical group,I_Fight_Dragons,1.457272643505256
ccrs,Artist,music similar to ccrs travelin band,https://en.wikipedia.org/wiki/Creedence_Clearwater_Revival,musical group,Creedence_Clearwater_Revival,4.892675360852829
travelin band,WoA,music similar to ccrs travelin band,https://en.wikipedia.org/wiki/Travelin%27_Band,musical work/composition,Travelin%27_Band,1.5090017365530528
blackout,WoA,songs similar to blackout by boris,https://en.wikipedia.org/wiki/Blackout_(Britney_Spears_album),album,Blackout_(Britney_Spears_album),2.833563246042866
boris,Artist,songs similar to blackout by boris,https://en.wikipedia.org/wiki/Boris_(band),rock group,Boris_(band),3.4011888960343004
zoosters breakout,WoA,similar to zoosters breakout by hans zimmer but simpler not as epic,,,,0.0
hans zimmer,Artist,similar to zoosters breakout by hans zimmer but simpler not as epic,https://en.wikipedia.org/wiki/Hans_Zimmer,human,Hans_Zimmer,5.239962761257766
trios,Artist,songs similar to trios da da da,https://en.wikipedia.org/wiki/Trio_(band),musical group,Trio_(band),2.092986496134173
da da da,WoA,songs similar to trios da da da,https://en.wikipedia.org/wiki/Da_Da_Da,song,Da_Da_Da,1.007177528481689
radioheads,Artist,aything similar to radioheads everything in its right place,https://en.wikipedia.org/wiki/Radiohead,musical group,Radiohead,6.562410151614332
everything in its right place,WoA,aything similar to radioheads everything in its right place,https://en.wikipedia.org/wiki/Everything_in_Its_Right_Place,musical work/composition,Everything_in_Its_Right_Place,1.5885884210286427
dré anthony,Artist,dré anthony brand new,,,,0.0
brand new,WoA,dré anthony brand new,https://en.wikipedia.org/wiki/Brand_New_(Shinhwa_album),album,Brand_New_(Shinhwa_album),0.3997434635087344
my chemical romance,Artist,looking for songs similar in subject and style to the intro to black parade by my chemical romance,https://en.wikipedia.org/wiki/My_Chemical_Romance,musical group,My_Chemical_Romance,5.197855026925572
black parade,WoA,looking for songs similar in subject and style to the intro to black parade by my chemical romance,https://en.wikipedia.org/wiki/Black_Parade_(song),song,Black_Parade_(song),0.0
crushed up,WoA,rap hip hop that sounds like crushed up by future,https://en.wikipedia.org/wiki/Crushed_Up,musical work/composition,Crushed_Up,0.0
future,Artist,rap hip hop that sounds like crushed up by future,https://en.wikipedia.org/wiki/Future_(rapper),human,Future_(rapper),4.987137484069224
matt champion,Artist,searching for rap r&b acts like matt champion of brockhampton,https://en.wikipedia.org/wiki/Matt_Champion,human,Matt_Champion,0.0
brockhampton,Artist,searching for rap r&b acts like matt champion of brockhampton,https://en.wikipedia.org/wiki/Brockhampton_(band),musical group,Brockhampton_(band),1.628170029296392
something beautifull,WoA,similar song to something beautifull need to breathe,,,,0.0
need to breathe,Artist,similar song to something beautifull need to breathe,,,,0.0
flylo,Artist,stuff like flylo,https://en.wikipedia.org/wiki/Flyleaf_(band),musical group,Flyleaf_(band),3.489213797824433
andrew huang,Artist,andrew huang 300000 note song | any other songs that resembles this,https://en.wikipedia.org/wiki/Andrew_Huang_(musician),human,Andrew_Huang_(musician),0.0
300000 note song,WoA,andrew huang 300000 note song | any other songs that resembles this,,,,0.0
buttercup,WoA,similar to buttercup by jack stauber,https://en.wikipedia.org/wiki/The_Buttercup_Chain,film,The_Buttercup_Chain,0.7945680047486068
jack stauber,Artist,similar to buttercup by jack stauber,https://en.wikipedia.org/wiki/Jack_Stauber,human,Jack_Stauber,0.0
pheonixs,Artist,im looking for an album like pheonixs love like a sunset | ideally instrumental only,https://en.wikipedia.org/wiki/Pheonix_Copley,human,Pheonix_Copley,0.780421717882227
love like a sunset,WoA,im looking for an album like pheonixs love like a sunset | ideally instrumental only,,,,0.0
funeral,WoA,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,https://en.wikipedia.org/wiki/Funeral_(Arcade_Fire_album),album,Funeral_(Arcade_Fire_album),0.0
phoebe bridges,Artist,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,https://en.wikipedia.org/wiki/Phoebe_Bridgers,human,Phoebe_Bridgers,0.4829094705821912
trapeze swing,WoA,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,,,,0.0
iron and wine,Artist,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,https://en.wikipedia.org/wiki/Iron_%26_Wine,human,Iron_%26_Wine,3.814932702092209
within the rose,WoA,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,,,,0.0
matthew and the atlas,Artist,looking for more sad songs in the same vein as things like funeral by phoebe bridges trapeze swing by iron and wine | within the rose by matthew and the atlas | any suggestions for songs that got this mood,,,,0.0
scott pilgrim vs the world,WoA,scott pilgrim vs the world,https://en.wikipedia.org/wiki/Scott_Pilgrim_vs._the_World,film,Scott_Pilgrim_vs._the_World,3.532981153477172
el cu cuy,WoA,coal chamber el cu cuy,,,,0.0
coal chamber,Artist,coal chamber el cu cuy,https://en.wikipedia.org/wiki/Coal_Chamber,musical group,Coal_Chamber,3.45470085093598
evil woman,WoA,bluesy songs kinda like evil woman by black sabbath,https://en.wikipedia.org/wiki/Evil_Woman_(Electric_Light_Orchestra_song),musical work/composition,Evil_Woman_(Electric_Light_Orchestra_song),2.005330483834926
black sabbath,Artist,bluesy songs kinda like evil woman by black sabbath,https://en.wikipedia.org/wiki/Black_Sabbath,heavy metal band,Black_Sabbath,6.657747639273763
