preprocessed,original
drake bell its never over,Drake Bell - Its never Over
songs similar to blackbird by alter ridge,Songs similar to Blackbird by Alter Ridge?
im searching for modern music thats similar to k ci and jojo joe montell jordan usher | my way era,"I'm searching for modern music that's similar to K-CI and Jojo, Joe, Montell Jordan, Usher (My Way era)..."
looking chillhop jazz hop with rap vocals,Looking Chillhop/Jazz Hop with rap vocals
certain metal music suggestions,Certain Metal Music Suggestions
classic psychedelic style in modern music,Classic Psychedelic style in modern music?
indie alt dance party,indie/alt dance party??
what are some instrumentals that are romantic for you,What are some instrumentals that are romantic for you?
looking for more tribal jungle edm like this,Looking for more tribal/jungle EDM like this
older or newer non indonesian songs that are similar to these indonesian songs,Older or newer non Indonesian songs that are similar to these Indonesian songs
looking for new music to listen to,Looking for new music to listen to
songs like this one,Songs like this one
suggest me some songs about being wicked,Suggest me some songs about being wicked.
waltzes plz,WALTZES PLZ
boybands and girlbands after 2005 similar to these ones,"Boybands and girlbands after 2005, similar to these ones"
request | looking for similar artists as hoodie allen and g eazy,[Request] Looking for similar artists as Hoodie Allen and G-eazy
beat song like rusty by tyler the creator,"beat/song like 'Rusty' by Tyler, the Creator ?"
what is the name of this kind og music,What is the name of this kind og music?
looking for songs like heroes by peter gabriel,"Looking for songs like ""Heroes"" by Peter Gabriel"
happy songs like france galls dann schon eher der piano player,"""Happy songs"" like France Gall's Dann Schon eher der Piano player"
jutes walk on me,Jutes - Walk On Me
songs like snuff by slipknot,Songs like Snuff by Slipknot
70s funky rock and sexy dance songs,70's funky rock and sexy dance songs
where can i find more songs with guitar solos like this | imagine dragons cover of mad world by gary jules,Where can I find more songs with guitar solos like this? (Imagine Dragons cover of Mad World by Gary Jules)
any intro thats like this,any intro that’s like this?
wintery glitzy synth suggestions,"""Wintery, glitzy synth"" suggestions?"
songs similar to annabelle gillian welch,"Songs similar to ""Annabelle - Gillian Welch""?"
looking for a really good dance party playlist | not genre specific but music that anyone could dance to,"Looking for a really good dance party playlist. Not genre-specific, but music that anyone could dance to."
complex prog metal and saxophone,Complex prog metal and saxophone
need crisis dystopian atmosphere music albums,Need crisis/dystopian atmosphere music/albums
songs similar to you gon learn by eminem,Songs similar to You Gon Learn by eminem
songs like the seven deadly sins ost,Songs like The Seven Deadly Sins OST
looking for video game inspired instrumental metal music | no vocals,Looking for video-game inspired instrumental metal music (no vocals)
looking for songs like these | basically new age,Looking for songs like these (basically New Age)
im looking for some good rock and or metal albums,I'm looking for some good rock and or metal albums
bands like greta van fleet | 70s rock revival,Bands like Greta Van Fleet? 70’s rock revival?
primal or tribal songs | or semi primal song,Primal or tribal songs? Or semi-primal song?
dark sinister powerful music similar to this,Dark/sinister/powerful music similar to this?
tribal drumming singing or anything like it for healing meditation y stuff | not overly cheesy new age,Tribal drumming/singing or anything like it for healing/meditation-y stuff? NOT overly cheesy new age
more like the cowboy bebop theme song by tank | energetic jazz,More like the Cowboy Bebop Theme Song by Tank! Energetic Jazz?
looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music"
searching for similar songs or artists,Searching for Similar Songs or Artists
looking for jungly music,looking for “jungly” music
help me find songs with a similar feel to these,Help me find songs with a similar feel to these
something similar,Something similar
female country rock,Female Country/Rock
for fans of 70s psychedelia and progressive rock | think kansas meets king crimson and at the end grateful dead crashes the party,"For fans of 70s psychedelia and progressive rock. Think Kansas meets King Crimson, and at the end Grateful Dead crashes the party."
music like metal gear risings ost,Music like Metal Gear Rising's OST?
dark unnerving bluesy songs like george ezras spectacular rival,"Dark, unnerving bluesy songs like George Ezra's Spectacular Rival"
grime artists needed,Grime Artists needed
allman bros live at fillmore east | cant get enough of it | any recs of similar albums bands,Allman Bros. Live at Fillmore East. Can't get enough of it. Any recs of similar albums/bands?
camping music what else do i add to this,Camping Music - What else do I add to this ?
recommend music that is instrumental and may have occasional vocals is low key so you can play it in the background without distracting you has an otherworldly quality to it,"recommend music that is instrumental and may have occasional vocals, is low key so you can play it in the background without distracting you, has an otherworldly quality to it"
songs that are made for audience participation,Songs that are made for audience participation?
like infected mushroom but more edgy,"Like Infected Mushroom, but more edgy"
songs similar to show me love by hundred waters,songs similar to show me love by hundred waters?
newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,"Newer (2005+) ballads in the style of Toni Braxton's ""Un-Break My Heart"", Jessica Simpson & Nick Lachey's ""Where You Are"", Stevie Wonder's ""All In Love Is Fair"""
what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,"What should my wife listen to if she likes The Regrettes, Le Tigre, Kate Nash and Liz Phair?"
something giving off similar vibes as reborn from the heriditary soundtrack,something giving off similar vibes as Reborn from the Heriditary soundtrack?
bands similar to audioslave,Bands similar to Audioslave?
looking for songs that fit this mood can you help,"Looking for songs that fit this mood, can you help?"
suggest any artists songs albums with a similar sound to this,suggest any artists/songs/albums with a similar sound to this?
hey recommend me artists similar to adam lambert,"Hey, recommend me artists similar to Adam Lambert?"
jazz or blues with sax pieces that would fit into a heavier genere playlist,Jazz or blues (with sax) pieces that would fit into a heavier genere playlist?
looking for a song like rigamortus by kendrick lamar,Looking for a song like rigamortus by kendrick lamar
looking for new artists | love a singer songwriter pop or country vibe,Looking for new artists. Love a singer songwriter/pop or country vibe
