id,text,start_offset,end_offset,label
11338,drake nonstop i really like,0,5,Artist_known
11342,music artists like bitter ruin or aliceband,34,43,Artist_deduced
11342,music artists like bitter ruin or aliceband,19,30,Artist_deduced
11344,songs similar to melody noir patrick watson,29,43,Artist_deduced
11344,songs similar to melody noir patrick watson,17,28,WoA_deduced
11345,looking for similar acoustic semiacoustic bands artists like frank turner,61,73,Artist_known
11346,any songs that tell a story | like carolina drama by the raconteurs,35,49,WoA_deduced
11346,any songs that tell a story | like carolina drama by the raconteurs,52,67,Artist_deduced
11347,songs that are derivatives of pachelbels canon,30,40,Artist_known
11347,songs that are derivatives of pachelbels canon,41,46,WoA_deduced
11351,similar to the album the way forward by intervals,25,36,WoA_deduced
11351,similar to the album the way forward by intervals,40,49,Artist_known
11353,songs similar to doses & mimosas by cherub,17,32,WoA_known
11353,songs similar to doses & mimosas by cherub,36,42,Artist_deduced
11354,songs similar to janelle monaes songs,17,31,Artist_deduced
11355,something like halfway to the halfway house,15,43,WoA_deduced
11356,a similar emotional production vibe to molly ft brandon urie lil dicky,39,44,Artist_deduced
11356,a similar emotional production vibe to molly ft brandon urie lil dicky,48,60,Artist_deduced
11356,a similar emotional production vibe to molly ft brandon urie lil dicky,61,70,Artist_known
11358,artists like lil tjay,13,21,Artist_deduced
11361,bands like archspire,11,20,Artist_deduced
11368,looking for similar to brazilian soul by the knocks ft sodi tukker | acoustic bossa version,41,51,Artist_known
11368,looking for similar to brazilian soul by the knocks ft sodi tukker | acoustic bossa version,55,66,Artist_deduced
11369,grundge elliot smith type of band,8,20,Artist_deduced
11370,looking for musicians like the offspring or nirvana,31,40,Artist_known
11370,looking for musicians like the offspring or nirvana,44,51,Artist_known
11372,bands songs similar to head in the ceiling fan by title fight,50,61,Artist_deduced
11372,bands songs similar to head in the ceiling fan by title fight,23,46,WoA_deduced
11374,songs like electric light orchestra,11,35,Artist_known
11376,any song like kings of leon sex on fire,14,27,Artist_known
11376,any song like kings of leon sex on fire,28,39,WoA_known
11377,songs similar to calm like you by the last shadow puppets,34,57,Artist_deduced
11377,songs similar to calm like you by the last shadow puppets,17,30,WoA_deduced
11382,asesina kidd sowlo,0,18,Artist_or_WoA_deduced
11383,songs like rick ross thug cry or big krits cadillactica,11,20,Artist_known
11383,songs like rick ross thug cry or big krits cadillactica,21,29,WoA_known
11383,songs like rick ross thug cry or big krits cadillactica,43,55,Artist_deduced
11383,songs like rick ross thug cry or big krits cadillactica,33,42,WoA_deduced
11386,pre game music like zhu working for it,20,38,Artist_or_WoA_deduced
11391,any artists with voices similar to leonard cohen or will oldham,34,48,Artist_known
11391,any artists with voices similar to leonard cohen or will oldham,52,63,Artist_deduced
11392,peach pit black licorice,10,24,WoA_deduced
11392,peach pit black licorice,0,9,Artist_or_WoA_deduced
11400,songs like bail money by fredo santana,11,21,WoA_deduced
11400,songs like bail money by fredo santana,25,38,Artist_deduced
11401,any songs or bands that sound like connect the dots by car seat headrest,34,51,WoA_deduced
11401,any songs or bands that sound like connect the dots by car seat headrest,55,72,Artist_deduced
11402,looking for stuff similar to tfot | doppelganger manipulator,29,33,Artist_or_WoA_deduced
